"Id","Name","BankName","BankBic","BankAccount","Currency","Amount"
"3243","foodwatch","","","","EUR","13.51"
"3262","Free Press Unlimited","","","","EUR","50.43"
"3271","Hulphond Nederland","","","","EUR","72.03"
"3274","Join for Joy","","","","EUR","3.74"
"3285","Kinderhulp","","","","EUR","39.43"
"3288","KNGF Geleidehonden","","","","EUR","10.91"
"3298","KWF kankerbestrijding","","","","EUR","61.47"
"3301","MAF Nederland","","","","EUR","13.84"
"3308","Metakids","","","","EUR","25.79"
"3315","Mission Possible","","","","EUR","4.77"
"3364","Bellingcat","","","","EUR","65.51"
"3367","Black Jaguar Foundation","","","","EUR","79.44"
"3376","Leprazending","","","","EUR","2.63"
"3388","Foundation for Pet Welfare Improvement","","","","EUR","15.97"
"3396","Friends of Maasstad Hospital Foundation","","","","EUR","3.75"
"3404","World Animal Protection","","","","EUR","8.53"
"3412","ZOA","","","","EUR","9.65"
"3420","Plan International Nederland","","","","EUR","36.07"
"3581","Support Casper","","","","EUR","189.03"
"3596","Plastic Soup Foundation","","","","EUR","50.65"
"3599","Simavi","","","","EUR","7.85"
"3612","Solidaridad","","","","EUR","15.37"
"3615","Tearfund","","","","EUR","10.86"
"3623","UAF","","","","EUR","3.29"
"3631","Wildlife Justice Commission","","","","EUR","25.4"
"3639","World Vision","","","","EUR","6.36"
"3929","International Justice Mission","","","","EUR","5"
"5334","Doctors without borders The Netherlands","","","","EUR","1.8"
"5340","Bijenstichting","","","","EUR","1.8"
"5349","Make A Wish","","","","EUR","6.59"
"5353","Hartstichting","","","","EUR","4.51"
"5357","WWF Nederland","","","","EUR","3.96"
"5880","TED talks","","","","EUR","6.16"
"6406","Foundation The Star","","","","EUR","8.58"
"6865","Jacinto Convit World Organization","","","","EUR","6.09"
"7922","Soul search foundation","","","","EUR","4.34"
"FF","Give For Good operationele vergoeding","","","","EUR","426.82"
